id,web_name,team,value,minutes,goals_scored,assists,clean_sheets,bonus,form,threat,influence,creativity,xG,xA,selected_by_percent,points_per_game,total_points,FDR,next_gameweek_points
293,Hermansen,11,44,1485,0,0,1,0,0.2,0.0,538.6,0.2,0.00,0.01,0.4,2.3,39,4,2.3
294,Iversen,11,39,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.9,0.0,0,1,0.0
295,Justin,11,41,1977,2,1,1,2,1.0,185.0,414.2,180.6,1.37,0.48,1.5,1.9,43,4,1.9
296,Kristiansen,11,45,1847,0,1,1,0,1.0,26.0,412.0,305.2,0.10,1.49,0.1,1.3,27,4,1.3
297,Marcal,11,45,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0,4,0.0
298,Mavididi,11,51,1284,3,1,1,3,1.2,249.0,270.6,311.1,1.55,3.09,0.3,2.5,55,2,2.5
299,McAteer,11,47,380,0,1,1,0,0.2,69.0,65.4,70.0,0.55,0.22,0.0,1.6,18,4,1.6
300,Ndidi,11,49,1216,0,4,1,1,0.0,187.0,326.6,155.6,1.53,1.13,0.2,2.5,37,1,2.5
301,Okoli,11,40,829,0,0,1,1,0.2,36.0,238.0,10.7,0.14,0.10,0.6,1.3,18,2,1.3
302,Ricardo,11,41,146,0,0,0,0,0.0,2.0,13.8,5.7,0.00,0.03,0.1,1.0,2,3,1.0
303,Souttar,11,40,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0,2,0.0
304,Stolarczyk,11,40,540,0,0,0,0,1.0,0.0,140.8,0.0,0.00,0.00,0.6,1.7,10,4,1.7
305,Thomas,11,39,179,0,0,0,0,0.0,10.0,28.0,15.0,0.02,0.05,1.8,0.5,1,1,0.5
306,Vardy,11,54,1776,7,4,1,13,3.5,513.0,357.6,181.8,8.41,2.11,5.6,4.1,90,1,4.1
307,Vestergaard,11,39,1259,0,0,0,0,0.8,36.0,285.0,35.4,0.04,0.08,1.8,0.7,11,3,0.7
308,Ward,11,39,135,0,0,0,0,0.0,0.0,35.4,0.0,0.00,0.00,2.1,1.0,2,3,1.0
309,Winks,11,44,1457,0,2,0,0,1.8,30.0,252.4,289.2,0.21,1.50,5.9,1.9,37,2,1.9
501,Skipp,11,47,757,0,0,1,0,0.8,24.0,86.2,119.8,0.13,0.28,0.0,1.2,18,2,1.2
570,A.Fatawu,11,51,576,0,2,0,3,0.0,148.0,147.6,104.3,0.41,1.42,0.2,2.4,26,4,2.4
606,Alves,11,44,1,0,0,0,0,0.0,0.0,0.0,0.3,0.00,0.00,0.1,1.0,1,3,1.0
616,Nelson,11,40,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0,2,0.0
635,El Khannouss,11,48,1090,2,1,1,5,3.8,78.0,211.4,250.0,0.50,1.20,0.2,2.6,49,1,2.6
694,Cartwright,11,45,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0,4,0.0
708,Wilson-Brown,11,40,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0,1,0.0
726,Coulibaly,11,40,15,0,0,0,0,0.7,0.0,5.4,0.3,0.00,0.00,0.0,1.0,2,3,1.0
754,Van Nistelrooy,11,5,0,0,0,0,0,4.0,0.0,0.0,0.0,0.00,0.00,0.2,0.0,8,1,0.0
310,A.Becker,12,55,1428,0,0,7,8,4.6,0.0,315.6,13.0,0.00,0.20,9.4,4.3,69,3,4.3
311,Alexander-Arnold,12,74,1762,1,6,9,13,5.0,160.0,534.6,700.6,1.08,6.24,32.5,4.7,108,1,4.7
312,Bajcetic,12,45,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0,2,0.0
313,Bradley,12,47,315,0,0,1,0,0.4,102.0,49.6,17.7,0.49,0.22,0.3,1.4,14,4,1.4
315,Clark,12,45,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0,3,0.0
